TargetWord,Prime,Unrelated,Length_Related,SubFreq_Related,LogSubFreq_Related,LogHAL_Related,OrthoN_Related,FreqGreater_Related,BGSum_Related,BGMean_Related,POS_Related,ELP_NT_RT_Related,ELP_N_Z_Related,ELP_NT_Acc_Related,Relation1_Related,Relation2_Related,FAS_Related,BAS_Related,CueFanOut_Related,LSA_Related,LSA_Unrelated,NT_200ms_RT_Related,NT_200ms_RT_Unrelated,NT_200ms_Z_Related,NT_200ms_Z_Unrelated,NT_200ms_Acc_Related,NT_200ms_Acc_Unrelated,NT_1200ms_RT_Related,NT_1200ms_RT_Unrelated,NT_1200ms_Z_Related,NT_1200ms_Z_Unrelated,NT_1200ms_Acc_Related,NT_1200ms_Acc,NT_200ms_RT_Priming_Related,NT_200ms_Z_Priming_Related,NT_200ms_Acc_Priming_Related,NT_1200ms_RT_Priming_Related,NT_1200ms_Z_Priming_Related,NT_1200ms_Acc_Priming_Related
uncommon,COMMON,COMPULSION,6,44.61,3.36,11.48,0,,9642,1928.4,JJ|NN,622.08,-0.52,1,antonym,,0.096,0.213,23,0.4,0.11,532.4411765,675,-0.04895268391,0.7412615274,1,1,553.4090909,582.1666667,0.157815694,0.3782391917,1,1,142.5588235,0.7902142113,0,28.75757576,0.2204234977,0
under,BENEATH,TRICYCLE,7,11.63,2.77,8.66,0,,14268,2378,minor,645.17,-0.41,1,synonym,,0.481,0.074,11,0.44,0.05,483.1052632,491.6774194,-0.3787622215,-0.1526812985,1,1,515.4444444,479.047619,-0.2598846696,-0.4804740691,1,1,8.572156197,0.2260809229,0,-36.3968254,-0.2205893995,0
understand,REALIZE,UPDATE,7,79.06,3.61,10.46,0,,13269,2211.5,VB,649.15,-0.41,1,category,,0.158,0,17,0.6,0.03,540.5185185,576.3333333,0.00368553216,0.204445486,1,1,465.5,550.8214286,-0.489869361,0.1257312948,1,1,35.81481481,0.2007599539,0,85.32142857,0.6156006558,0
unemployment,JOBLESS,SUEDE,7,0.33,1.26,5.68,0,,11159,1859.83,JJ,616.61,-0.5,1,synonym,,0.281,0.1,14,0.31,-0.03,564.4117647,616.8846154,0.4509427304,1.11802429,0.8529411765,0.8846153846,576.9259259,627.7619048,0.2330628945,0.6264571216,0.8888888889,0.9523809524,52.47285068,0.6670815599,-0.03167420814,50.83597884,0.3933942271,-0.06349206349
unfair,UNJUST,HAMMOCK,6,1.16,1.78,7.49,0,,7119,1423.8,JJ|NN,586.22,-0.63,1,synonym,,0.24,0.067,14,0.38,0.06,528.9302326,564.3846154,-0.05043728299,-0.257473884,0.9069767442,1,626.7352941,534.2857143,0.3192978561,0.03173453093,1,1,35.45438283,-0.207036601,-0.09302325581,-92.44957983,-0.2875633252,0
unknown,KNOWN,CLOWN,5,123.53,3.8,11.35,1,0,1755,438.75,VB|NN,622.93,-0.49,1,antonym,,0.438,0.174,15,0.54,0.02,517.4761905,511.3636364,-0.2131986669,-0.4908374479,1,1,554.875,506.0384615,-0.09712922832,-0.03093389623,1,1,-6.112554113,-0.2776387811,0,-48.83653846,0.06619533209,0
unusual,USUAL,HIDDEN,5,37.24,3.28,10.27,0,,5827,1456.75,JJ|NN,794.43,0.11,0.96,antonym,,0.171,0.127,14,0.38,0.3,540.78125,566.8947368,-0.04974494647,0.2681533639,0.96875,1,566.5,514.7777778,0.1106167969,-0.03551646375,0.95,1,26.11348684,0.3178983104,-0.03125,-51.72222222,-0.1461332607,-0.05
up,GROWN,INTERRUPT,5,25,3.11,9.27,8,1,3742,935.5,VB|JJ,641.16,-0.31,0.93,fpa,,0.135,0,16,0.35,0.26,493.5454545,516.0714286,-0.5420808403,-0.634172757,1,1,543.0869565,536.7142857,0.0993665255,-0.2545426986,1,1,22.52597403,-0.09209191661,0,-6.372670807,-0.3539092241,0
upstairs,DOWNSTAIRS,PISSED,10,38.92,3.3,7.44,0,,11934,1326,NN|RB|JJ,605.89,-0.51,1,synonym,,0.591,0.653,13,0.9,0.22,530.55,608.6666667,-0.3693898831,0.607877059,1,0.9743589744,477.0571429,481.9428571,-0.3337294856,-0.1769864414,1,0.9714285714,78.11666667,0.9772669421,0.02564102564,4.885714286,0.1567430442,0.02857142857
usa,COUNTRY,RECLINER,7,161.84,3.92,11.58,0,,11344,1890.67,NN,630.24,-0.46,1,supraordinate,,0.182,0.194,19,0.27,-0.01,473.3571429,697.3255814,-0.50143107,1.553014098,0.8571428571,0.7209302326,732.4285714,956.8095238,1.461953073,2.722912825,0.7142857143,0.619047619,223.9684385,2.054445168,0.1362126246,224.3809524,1.260959752,0.09523809524
vacation,TRIP,SMEAR,4,82.39,3.62,10.25,6,0,5088,1696,NN|VB,603.79,-0.51,1,synonym,,0.297,0.419,10,0.52,0.02,574.4761905,560.85,0.1254882257,0.2192927487,1,1,565.5238095,536.475,0.08281832956,0.05068669726,0.9523809524,1,-13.62619048,0.09380452297,0,-29.04880952,-0.0321316323,-0.04761904762
valuable,PRECIOUS,OPERATION,8,23.35,3.08,8.77,1,1,13825,1975,JJ,679.39,-0.17,1,unclassifed,,0.136,0.045,23,0.41,0.16,565.1025641,569.0769231,0.1400109138,0.08517962246,0.9743589744,1,541.8421053,527.4857143,0.2192688359,0.2308987561,1,1,3.974358974,-0.05483129131,-0.02564102564,-14.35639098,0.01162992027,0
value,APPRAISE,OLD,8,0.2,1.04,4.97,0,,11542,1648.86,VB,675.11,-0.38,0.96,unclassified,,0.222,0,14,0.11,0.06,620.7878788,494.2222222,0.3100214485,-0.2998185506,1,1,512.9047619,538.125,-0.01954641541,-0.1963444197,1,1,-126.5656566,-0.6098399991,0,25.2202381,-0.1767980043,0
values,MORALS,PERCEPTION,6,2.92,2.18,7.97,2,1,10307,2061.4,NN,592.14,-0.61,1,category,,0.184,0.479,22,0.46,0.21,509.55,545.6,-0.2246908438,-0.1466509735,1,1,501.75,506.8,-0.2433382638,-0.1032220943,1,1,36.05,0.07803987033,0,5.05,0.1401161695,0
vanish,DISAPPEAR,ACRE,9,20.96,3.03,8.66,0,,13194,1649.25,VB,636.93,-0.27,1,synonym,,0.276,0.699,11,0.3,0.01,604.3571429,500.6666667,0.04376645732,-0.08120731398,1,1,537.2380952,542.8,-0.04209230915,-0.01430486655,0.9523809524,0.95,-103.6904762,-0.1249737713,0,5.561904762,0.02778744259,0.002380952381
vault,POLE,INQUIRE,4,12.59,2.81,8.65,14,6,5789,1929.67,NN,606.48,-0.63,1,fpa,,0.236,0.048,14,0.14,0.18,591.7083333,563.05,0.1156027836,0.2598788005,1,1,520.2,599.5,0.1544724107,0.4311769241,1,1,-28.65833333,0.1442760169,0,79.3,0.2767045134,0
vegetable,RADISH,MONDAY,6,0.61,1.51,4.93,2,0,10092,2018.4,NN,672.04,-0.26,0.96,supraordinate,,0.26,0,14,0.16,0.06,572.2647059,497.8461538,0.1248678592,-0.3288010656,1,1,544.6060606,511.5769231,0.2093811801,-0.1322274,1,1,-74.41855204,-0.4536689248,0,-33.02913753,-0.3416085801,0
vegetables,TOMATO,STRESS,6,5.9,2.48,7.67,0,,9810,1962,NN,655.7,-0.39,1,supraordinate,,0.231,0.025,17,0.48,0.05,520.4285714,584.3695652,-0.1177496295,0.06490305425,0.9642857143,1,508.1111111,620.6,-0.02254410863,0.2860116924,1,0.96,63.94099379,0.1826526837,-0.03571428571,112.4888889,0.308555801,0.04
vein,ARTERY,DANGER,6,5.31,2.43,6.1,0,,15159,3031.8,NN,686.3,-0.15,0.93,category,,0.417,0.326,8,0.86,0.05,559.3448276,585.72,0.1481842174,0.2532943661,1,0.96,522.969697,556.8,0.08747694759,0.3136373715,1,1,26.37517241,0.1051101488,0.04,33.83030303,0.2261604239,0
verb,NOUN,FRILL,4,0.53,1.45,7.33,1,1,4330,1443.33,NN,609.81,-0.56,1,category,,0.69,0.642,7,0.7,0.03,536.8888889,600.7826087,0.01476826445,0.3893339554,1,1,606.5862069,600.4230769,0.3054793285,0.2843583066,1,1,63.89371981,0.374565691,0,-6.163129973,-0.02112102195,0
view,SCENERY,FOUNDATION,7,3.78,2.29,8.06,0,,15396,2566,NN,821.12,0.28,0.96,synonym,,0.14,0,22,0.14,0.25,564.4090909,538.4117647,0.1299058243,0.1998564201,1,1,543.6451613,526.5,0.1399181318,0.2302274323,0.9677419355,1,-25.9973262,0.06995059579,0,-17.14516129,0.0903093005,-0.03225806452
vine,GRAPE,LODGE,5,4,2.31,7.4,9,4,6394,1598.5,NN,546.64,-0.81,1,fpa,,0.219,0.605,17,0.17,0.12,489.3,548.1794872,-0.3264818988,-0.007919108527,1,1,538.1428571,580.5151515,-0.07925363281,0.3311164165,1,1,58.87948718,0.3185627902,0,42.37229437,0.4103700493,0
violin,VIOLA,INTESTINE,5,2.96,2.18,7.18,1,1,6602,1650.5,NN,776.15,0.13,0.96,category,,0.333,0.026,15,0.42,-0.01,553.0512821,598.8888889,0.3867561351,0.3433328634,1,1,638.8095238,521.25,0.5161759983,0.03529820155,1,1,45.83760684,-0.04342327173,0,-117.5595238,-0.4808777968,0
virgin,MARY,STEREOTYPE,4,88.08,3.65,10.13,9,3,5279,1759.67,NN,604.57,-0.51,1,bpa,,0.164,0.085,15,0.12,0.09,489.3809524,598.7037037,-0.2032237755,0.2272596819,1,1,543.6818182,483.8518519,0.04202792827,-0.01301765552,1,1,109.3227513,0.4304834574,0,-59.82996633,-0.05504558379,0
virtue,PATIENCE,HIM,8,15.37,2.89,8.64,0,,18155,2593.57,NN,624.14,-0.38,1,,,0.198,0.108,21,0.29,0.19,556.2142857,564.6428571,0.08813590786,0.5254736729,1,1,503.9375,628.3714286,-0.1462355579,0.2862790445,0.9375,1,8.428571429,0.437337765,0,124.4339286,0.4325146024,-0.0625
vision,BLUR,MINUTE,4,2.14,2.04,7.4,2,1,3115,1038.33,NN|VB,597.93,-0.5,1,,,0.146,0.016,16,0.32,0.14,568.7741935,607.6176471,-0.0648110619,0.5865586896,0.9677419355,0.9411764706,536.75,549.7142857,-0.1570218634,0.05465075282,1,1,38.84345351,0.6513697515,0.0265654649,12.96428571,0.2116726162,0
volcano,LAVA,KNOWN,4,3.45,2.25,7.92,2,1,2869,956.33,NN,577.81,-0.63,1,script,,0.388,0.18,11,0.96,0.07,507.4230769,522.9259259,-0.3483006366,-0.109659024,1,0.962962963,545.0882353,594.3076923,0.1445924517,0.1303248621,1,1,15.502849,0.2386416126,0.03703703704,49.21945701,-0.01426758959,0
